main.disorder,Band,Metric,Mean AUC,AUC Lower CI,AUC Upper CI,Mean Sensitivity,Sensitivity Lower CI,Sensitivity Upper CI,Mean Specificity,Specificity Lower CI,Specificity Upper CI
addictive disorder,alpha,AB,0.71,0.63,0.78,0.67,0.52,0.81,0.77,0.67,0.87
addictive disorder,beta,AB,0.72,0.67,0.77,0.74,0.61,0.88,0.69,0.57,0.82
addictive disorder,highbeta,AB,0.74,0.68,0.79,0.70,0.58,0.82,0.79,0.67,0.90
addictive disorder,gamma,AB,0.70,0.64,0.77,0.67,0.53,0.81,0.76,0.64,0.89
addictive disorder,theta,AB,0.72,0.66,0.79,0.78,0.66,0.89,0.69,0.57,0.81
addictive disorder,delta,AB,0.76,0.69,0.83,0.84,0.77,0.91,0.66,0.53,0.78
addictive disorder,alpha,COH,0.75,0.71,0.80,0.74,0.67,0.82,0.74,0.62,0.85
addictive disorder,beta,COH,0.78,0.73,0.82,0.75,0.64,0.87,0.80,0.73,0.87
addictive disorder,highbeta,COH,0.79,0.74,0.83,0.74,0.62,0.86,0.82,0.73,0.90
addictive disorder,gamma,COH,0.77,0.73,0.80,0.78,0.69,0.87,0.77,0.70,0.85
addictive disorder,theta,COH,0.80,0.74,0.86,0.75,0.65,0.84,0.84,0.76,0.91
addictive disorder,delta,COH,0.80,0.75,0.86,0.79,0.71,0.87,0.77,0.66,0.87
trauma and stress related disorder,alpha,AB,0.85,0.78,0.92,0.79,0.68,0.89,0.89,0.76,1.02
trauma and stress related disorder,beta,AB,0.86,0.80,0.92,0.86,0.77,0.94,0.83,0.75,0.90
trauma and stress related disorder,highbeta,AB,0.87,0.82,0.93,0.81,0.74,0.89,0.91,0.86,0.97
trauma and stress related disorder,gamma,AB,0.87,0.82,0.92,0.84,0.77,0.91,0.89,0.85,0.94
trauma and stress related disorder,theta,AB,0.87,0.82,0.92,0.84,0.75,0.93,0.84,0.71,0.96
trauma and stress related disorder,delta,AB,0.87,0.81,0.93,0.81,0.71,0.91,0.92,0.87,0.98
trauma and stress related disorder,alpha,COH,0.84,0.79,0.89,0.80,0.70,0.91,0.82,0.71,0.93
trauma and stress related disorder,beta,COH,0.88,0.82,0.93,0.77,0.67,0.87,0.90,0.83,0.98
trauma and stress related disorder,highbeta,COH,0.84,0.79,0.89,0.80,0.74,0.87,0.88,0.80,0.96
trauma and stress related disorder,gamma,COH,0.84,0.78,0.90,0.81,0.70,0.92,0.82,0.72,0.93
trauma and stress related disorder,theta,COH,0.88,0.83,0.92,0.85,0.80,0.90,0.85,0.73,0.97
trauma and stress related disorder,delta,COH,0.86,0.80,0.91,0.75,0.64,0.87,0.90,0.82,0.98
mood disorder,alpha,AB,0.80,0.76,0.84,0.75,0.66,0.84,0.83,0.75,0.91
mood disorder,beta,AB,0.78,0.75,0.82,0.76,0.68,0.84,0.80,0.72,0.88
mood disorder,highbeta,AB,0.82,0.79,0.85,0.73,0.69,0.77,0.89,0.83,0.96
mood disorder,gamma,AB,0.83,0.80,0.86,0.79,0.72,0.87,0.82,0.71,0.92
mood disorder,theta,AB,0.81,0.76,0.85,0.79,0.73,0.85,0.80,0.72,0.88
mood disorder,delta,AB,0.82,0.79,0.86,0.77,0.67,0.88,0.84,0.76,0.92
mood disorder,alpha,COH,0.81,0.74,0.87,0.81,0.72,0.89,0.81,0.73,0.89
mood disorder,beta,COH,0.84,0.79,0.89,0.82,0.76,0.87,0.81,0.72,0.91
mood disorder,highbeta,COH,0.78,0.73,0.84,0.76,0.64,0.88,0.76,0.66,0.86
mood disorder,gamma,COH,0.80,0.74,0.86,0.72,0.58,0.85,0.83,0.74,0.93
mood disorder,theta,COH,0.83,0.78,0.87,0.84,0.77,0.92,0.79,0.70,0.87
